support,itemsets,length
0.15,frozenset({'Coffee'}),1
0.15,frozenset({'Yogurt'}),1
0.149,frozenset({'Pork'}),1
0.14766666666666667,frozenset({'Salt'}),1
0.147,frozenset({'Apples'}),1
0.146,frozenset({'Cookies'}),1
0.146,frozenset({'Chicken'}),1
0.14533333333333334,frozenset({'Cheese'}),1
0.145,frozenset({'Water'}),1
0.14466666666666667,frozenset({'Chocolate'}),1
0.144,frozenset({'Grapes'}),1
0.14366666666666666,frozenset({'Toothpaste'}),1
0.14366666666666666,frozenset({'Soap'}),1
0.14366666666666666,frozenset({'Beef'}),1
0.143,frozenset({'Pasta'}),1
0.14266666666666666,frozenset({'Soda'}),1
0.141,frozenset({'Oats'}),1
0.14033333333333334,frozenset({'Tea'}),1
0.13933333333333334,frozenset({'Butter'}),1
0.13933333333333334,frozenset({'Juice'}),1
0.139,frozenset({'Cereal'}),1
0.13866666666666666,frozenset({'Shampoo'}),1
0.137,frozenset({'Sugar'}),1
0.13666666666666666,frozenset({'Bananas'}),1
0.13666666666666666,frozenset({'Rice'}),1
0.13466666666666666,frozenset({'Fish'}),1
0.13466666666666666,frozenset({'Chips'}),1
0.13333333333333333,frozenset({'Eggs'}),1
0.133,frozenset({'Milk'}),1
0.13233333333333333,frozenset({'Tomato Sauce'}),1
0.12966666666666668,frozenset({'Oranges'}),1
0.12933333333333333,frozenset({'Bread'}),1
